age,gender,grade_level,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_tools_used,ai_usage_purpose,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score
22,Female,10th,0.7,0,8,ChatGPT+Gemini,Unknown,8,3,95,10,9,9.2,-6.9,7.7,4.7,4.2,1,80.9
16,Male,2nd Year,4.6,0,63,Gemini,Homework,5,78,26,1,1,7.1,-13.4,7.1,5.9,2.4,1,74.1
18,Male,12th,4.0,1,37,ChatGPT+Gemini,Coding,9,89,29,5,4,7.4,6.8,6.1,4.5,2.9,4,46.9
16,Female,10th,1.9,1,135,ChatGPT+Gemini,Homework,3,99,109,8,10,7.9,-5.9,6.7,3.3,3.9,9,78.4
20,Male,10th,3.3,0,133,Gemini,Exam Prep,5,78,102,7,4,5.6,-16.7,7.0,3.3,3.2,3,65.6
18,Female,1st Year,1.2,1,176,Copilot,Exam Prep,4,48,61,7,8,7.4,-2.1,4.4,1.0,4.6,1,89.1
22,Male,10th,5.3,1,101,Claude,Doubt Solving,7,21,64,3,4,2.9,33.6,5.6,2.6,0.8,3,38.0
20,Female,12th,2.5,0,172,Gemini,Unknown,10,36,10,9,10,5.2,30.5,8.4,3.2,2.4,7,65.6
15,Female,11th,3.9,1,148,ChatGPT,Homework,5,9,86,5,5,7.2,33.0,7.7,3.0,1.9,7,59.8
17,Male,3rd Year,1.4,1,92,Copilot,Coding,2,19,48,10,4,8.2,3.5,4.4,0.7,4.1,9,32.2
22,Male,1st Year,1.6,0,33,Gemini,Unknown,6,95,16,3,1,9.7,32.7,5.4,0.9,2.4,8,39.4
15,Female,12th,6.0,1,139,Gemini,Unknown,4,72,14,6,8,8.7,37.1,5.0,1.5,4.6,2,68.5
23,Female,12th,4.6,1,38,Unknown,Notes,6,49,26,8,2,1.4,37.5,5.9,3.1,1.4,1,50.9
22,Male,12th,5.8,0,95,Gemini,Coding,1,30,116,8,10,2.6,-12.5,8.9,1.0,1.2,5,70.9
23,Male,2nd Year,2.1,0,5,Claude,Unknown,1,43,9,4,5,7.1,29.4,6.9,1.7,2.9,1,42.8
18,Female,2nd Year,1.4,0,80,ChatGPT+Gemini,Notes,4,30,79,4,10,1.7,0.2,4.8,2.1,0.2,1,56.3
15,Female,11th,3.3,0,31,ChatGPT+Gemini,Notes,7,91,100,9,2,10.0,7.0,7.9,4.0,3.3,8,66.7
17,Male,12th,3.2,0,135,Unknown,Doubt Solving,7,74,27,10,5,5.2,19.3,6.9,2.0,3.8,9,47.0
20,Female,2nd Year,1.5,1,165,Gemini,Notes,1,99,1,2,4,7.2,25.5,8.3,4.2,1.3,2,49.7
21,Male,2nd Year,4.5,1,146,Gemini,Exam Prep,5,40,102,9,10,1.4,34.0,6.4,0.9,1.8,1,62.7
16,Female,2nd Year,2.5,0,8,ChatGPT+Gemini,Exam Prep,6,3,34,8,6,4.9,37.5,8.5,1.7,3.3,2,54.3
14,Male,11th,1.5,1,179,Claude,Unknown,5,13,14,3,3,3.2,26.2,8.3,2.5,2.8,1,41.3
17,Other,11th,2.3,0,155,Copilot,Doubt Solving,7,45,58,2,6,1.9,-5.6,4.3,1.6,3.1,5,55.1
15,Female,12th,3.6,0,61,ChatGPT+Gemini,Coding,6,53,74,2,2,7.1,10.5,8.1,1.1,2.8,4,64.1
21,Female,1st Year,4.5,0,175,Gemini,Coding,5,92,32,1,3,9.8,0.7,4.6,5.8,2.5,9,39.4
17,Female,12th,3.2,1,113,Claude,Unknown,5,91,54,10,2,3.7,31.9,4.5,3.9,0.2,10,48.5
15,Female,2nd Year,3.4,1,166,Claude,Unknown,9,88,79,9,5,9.4,9.7,4.8,0.1,1.9,8,52.5
19,Female,3rd Year,1.3,1,18,Unknown,Coding,3,86,74,1,5,1.0,31.4,8.6,1.1,3.0,8,51.2
19,Male,2nd Year,5.5,1,32,Gemini,Coding,9,32,83,2,8,7.0,38.5,6.5,4.0,4.0,6,58.4
23,Female,10th,5.6,0,63,ChatGPT,Exam Prep,2,29,51,7,6,5.8,-2.7,5.6,2.1,4.3,5,69.7
17,Female,3rd Year,4.3,0,25,Claude,Exam Prep,10,8,18,5,7,4.3,-18.2,4.3,3.1,1.8,3,54.2
19,Female,3rd Year,0.6,1,172,ChatGPT+Gemini,Doubt Solving,7,37,38,1,9,4.8,-7.1,4.6,4.8,3.5,1,56.5
15,Male,12th,3.5,0,0,ChatGPT,Doubt Solving,6,88,113,4,4,6.4,18.4,4.9,0.7,0.4,5,40.3
23,Male,2nd Year,4.0,1,162,Unknown,Doubt Solving,8,81,86,6,6,6.0,28.5,4.9,3.8,1.8,10,40.8
15,Male,2nd Year,6.0,0,76,Copilot,Coding,9,42,59,8,7,5.6,24.9,4.4,2.9,0.8,1,48.5
23,Female,1st Year,6.0,1,102,ChatGPT+Gemini,Coding,6,6,9,2,3,9.8,28.2,4.4,1.4,2.4,6,72.6
17,Male,10th,5.2,1,95,Unknown,Exam Prep,2,87,71,10,8,7.9,35.5,5.5,1.9,3.2,8,80.9
21,Female,12th,0.9,0,172,Unknown,Exam Prep,10,39,65,3,4,2.6,-6.5,6.7,0.2,4.7,1,49.0
20,Female,11th,5.7,1,75,Unknown,Homework,4,84,55,7,4,9.3,-17.0,6.9,5.9,4.2,3,54.0
22,Female,12th,3.9,1,32,Gemini,Homework,3,61,6,1,2,5.4,-0.3,5.4,0.8,0.8,3,55.0
21,Female,3rd Year,4.9,0,81,ChatGPT,Unknown,3,54,89,7,9,1.1,31.2,4.4,4.5,3.8,3,54.5
18,Male,12th,2.7,1,68,Unknown,Coding,5,34,39,1,9,8.1,23.7,7.0,2.6,2.9,3,47.0
15,Male,1st Year,2.3,0,82,Unknown,Unknown,10,42,18,8,10,4.2,-18.0,7.3,2.8,4.1,7,73.5
18,Male,12th,3.0,0,158,Unknown,Exam Prep,1,10,69,6,10,10.0,-10.7,7.5,3.6,2.4,6,43.3
21,Female,1st Year,1.3,0,105,ChatGPT+Gemini,Coding,9,1,96,10,5,5.9,35.8,8.6,5.5,1.0,8,41.7
23,Male,3rd Year,2.5,1,101,Unknown,Unknown,4,78,118,7,8,3.4,9.8,4.2,3.4,0.4,9,72.4
22,Female,1st Year,5.2,0,113,Claude,Unknown,7,78,10,2,8,7.8,18.4,5.1,4.8,1.3,2,62.3
22,Male,2nd Year,0.7,0,142,Gemini,Notes,7,4,51,6,1,3.5,-14.3,6.9,5.1,1.0,2,39.8
14,Male,11th,1.3,1,45,ChatGPT,Homework,7,39,99,5,3,1.2,14.6,4.1,3.9,3.1,8,63.2
22,Male,3rd Year,1.2,0,119,Claude,Doubt Solving,5,79,11,3,2,1.9,30.8,4.3,3.8,3.2,9,61.6
20,Female,1st Year,2.7,1,47,Unknown,Coding,4,45,91,9,5,6.9,34.1,6.0,5.2,2.2,3,63.6
22,Female,10th,6.0,0,67,Gemini,Notes,4,20,61,5,3,2.9,7.0,6.9,0.3,2.3,4,40.5
21,Male,3rd Year,1.5,1,82,Gemini,Doubt Solving,5,8,72,8,7,3.1,15.2,7.4,3.8,4.3,1,88.5
14,Female,10th,1.3,1,84,ChatGPT,Unknown,6,70,22,4,2,2.3,23.8,5.2,3.1,0.7,8,29.6
21,Male,11th,5.5,1,125,ChatGPT,Notes,10,26,39,6,3,3.3,3.9,7.1,1.6,0.5,8,67.2
21,Other,1st Year,5.4,0,167,ChatGPT,Exam Prep,7,16,69,4,7,7.8,-2.5,5.8,4.7,0.4,8,37.1
24,Female,3rd Year,0.7,1,120,ChatGPT+Gemini,Exam Prep,5,65,49,4,3,5.6,-14.7,6.8,1.8,2.4,2,31.8
16,Male,3rd Year,4.6,1,128,Gemini,Exam Prep,9,25,63,9,3,2.9,-8.3,7.3,4.7,3.9,8,60.8
14,Female,11th,4.1,0,19,Unknown,Unknown,9,71,18,5,5,3.2,39.0,5.3,5.5,3.3,9,40.0
21,Male,2nd Year,4.7,0,149,Copilot,Doubt Solving,1,44,83,1,1,4.4,32.3,5.8,3.4,0.4,4,56.6
16,Other,10th,3.2,0,64,Claude,Doubt Solving,5,54,17,7,3,10.0,0.8,6.8,4.8,2.5,5,42.6
16,Male,3rd Year,6.0,1,142,ChatGPT,Exam Prep,2,39,26,3,2,2.6,29.8,5.2,1.6,0.2,7,43.5
14,Female,12th,0.7,1,60,Gemini,Unknown,4,15,96,3,2,8.2,25.9,8.7,0.9,0.6,4,46.7
24,Male,10th,1.8,0,78,Unknown,Doubt Solving,7,83,92,6,3,8.8,38.1,7.6,3.4,1.0,8,65.0
18,Female,1st Year,2.7,0,13,Claude,Exam Prep,10,95,72,3,2,9.6,-17.6,7.1,2.6,2.1,5,46.1
23,Female,11th,3.0,0,68,Copilot,Coding,6,31,108,1,3,6.4,14.7,7.6,2.5,1.8,1,46.4
20,Female,10th,5.6,0,121,Claude,Exam Prep,7,34,43,6,5,1.9,22.0,5.2,0.8,3.4,9,51.5
23,Female,12th,3.6,1,48,Copilot,Unknown,3,63,57,7,10,1.2,29.8,4.0,5.6,3.8,8,79.9
22,Female,12th,0.7,1,133,Unknown,Homework,5,63,61,5,10,5.0,28.2,7.2,0.6,4.5,4,74.1
20,Male,11th,2.7,0,168,ChatGPT,Coding,6,14,49,1,7,4.2,-3.4,8.8,1.7,3.0,4,62.0
22,Male,11th,2.8,1,158,ChatGPT+Gemini,Unknown,6,41,90,2,4,8.8,22.2,7.3,2.8,1.3,3,37.3
21,Male,10th,5.8,1,115,Copilot,Exam Prep,6,49,52,2,7,6.4,28.6,4.9,4.5,2.6,7,63.3
15,Other,1st Year,3.8,1,89,ChatGPT,Homework,9,31,102,10,5,8.6,11.0,8.3,3.8,3.2,6,40.3
14,Male,2nd Year,4.0,1,88,Claude,Exam Prep,6,29,60,8,9,6.1,10.1,6.9,0.4,0.9,2,56.3
20,Female,12th,4.4,0,178,Unknown,Coding,2,82,74,8,4,3.0,6.5,7.1,0.3,2.1,9,66.4
20,Female,11th,4.7,1,116,Claude,Exam Prep,9,23,49,8,3,2.8,-7.5,6.6,3.4,1.6,10,63.6
21,Male,2nd Year,4.0,0,121,Claude,Doubt Solving,4,65,53,2,2,4.6,30.0,7.7,0.1,3.2,1,43.3
18,Male,2nd Year,1.8,1,176,Unknown,Exam Prep,7,20,41,5,10,1.3,10.1,8.8,3.4,0.5,5,57.1
16,Male,2nd Year,5.3,1,167,Unknown,Coding,6,41,58,5,4,5.5,-11.9,5.9,1.1,4.1,5,42.9
21,Male,1st Year,4.5,0,14,ChatGPT+Gemini,Notes,9,79,7,4,2,3.5,34.9,6.9,1.1,0.5,3,56.2
19,Male,11th,4.6,1,6,Gemini,Exam Prep,10,99,13,8,4,1.4,30.7,8.3,1.1,4.2,3,31.9
24,Male,12th,6.0,1,53,Copilot,Doubt Solving,3,57,109,8,3,5.3,5.4,8.4,4.6,0.7,5,63.4
16,Female,11th,4.9,1,179,Unknown,Coding,8,1,12,9,9,6.8,26.9,8.1,2.8,3.9,8,80.1
14,Other,10th,5.1,1,178,Gemini,Homework,5,15,70,4,5,1.9,-10.0,6.8,1.3,4.3,10,67.5
16,Male,12th,5.7,0,3,Claude,Notes,6,92,78,1,3,6.5,38.3,8.7,0.4,2.9,10,40.4
18,Male,11th,1.3,1,0,ChatGPT+Gemini,Unknown,3,6,101,9,7,9.5,-14.9,4.8,2.7,4.5,3,59.7
16,Male,12th,3.2,1,104,ChatGPT,Exam Prep,3,54,43,1,2,4.4,32.9,5.0,3.2,1.5,10,47.0
14,Female,10th,3.7,1,65,ChatGPT+Gemini,Coding,7,14,42,4,10,9.8,39.9,5.1,3.6,1.7,10,88.2
18,Female,3rd Year,2.3,1,162,Unknown,Doubt Solving,6,22,119,10,6,8.0,-2.6,6.0,0.5,1.9,2,57.0
23,Male,12th,5.1,0,80,Gemini,Doubt Solving,2,68,17,1,1,1.1,28.7,7.3,2.2,4.8,6,36.1
20,Male,3rd Year,4.7,0,137,Claude,Coding,10,0,35,3,8,9.5,34.8,6.1,2.1,0.4,9,49.4
20,Female,2nd Year,4.5,1,67,Copilot,Doubt Solving,8,68,30,3,6,5.6,37.2,8.7,2.0,0.0,6,71.9
24,Female,1st Year,6.0,1,101,ChatGPT+Gemini,Unknown,5,12,3,7,8,6.4,23.2,5.2,5.3,0.3,2,77.2
22,Male,10th,1.9,1,50,Gemini,Notes,7,25,76,3,4,6.5,17.2,8.1,2.2,2.4,2,47.7
23,Female,12th,4.5,1,29,Gemini,Homework,3,51,38,6,3,4.5,-13.7,7.9,3.8,1.1,4,57.9
23,Male,10th,3.5,1,38,ChatGPT,Doubt Solving,10,12,93,10,10,5.0,8.2,5.7,5.3,2.4,6,76.0
16,Male,2nd Year,2.2,1,137,Copilot,Doubt Solving,5,95,54,4,4,5.7,3.7,6.4,0.0,2.7,8,73.3
20,Female,3rd Year,1.4,1,171,Gemini,Homework,3,54,18,6,7,9.7,-18.7,7.8,4.4,2.4,5,54.7
14,Female,1st Year,5.4,1,159,Copilot,Notes,3,28,67,9,6,3.0,-2.9,8.3,3.9,2.2,2,37.4
17,Male,10th,3.8,1,171,Claude,Notes,1,17,64,7,9,9.2,24.6,7.4,5.5,2.0,7,66.5
17,Female,3rd Year,5.0,1,62,Unknown,Notes,3,1,39,1,7,9.8,-1.7,8.6,2.7,1.6,10,55.9
18,Male,2nd Year,3.5,0,60,ChatGPT+Gemini,Unknown,7,26,95,8,3,4.8,-18.0,7.1,5.7,1.6,8,55.3
20,Female,2nd Year,1.7,0,64,Gemini,Doubt Solving,9,49,75,4,10,3.2,26.2,6.0,2.8,1.1,9,60.9
20,Female,2nd Year,2.4,0,168,Claude,Doubt Solving,1,41,75,8,5,5.2,28.5,7.1,0.4,2.0,8,42.2
24,Female,3rd Year,2.6,0,80,ChatGPT,Notes,4,66,83,3,8,1.9,-18.4,7.1,4.6,2.7,5,88.2
17,Female,12th,5.9,0,11,Copilot,Doubt Solving,10,93,74,10,5,8.4,30.2,6.8,0.1,4.7,6,40.2
20,Male,11th,0.5,1,123,Unknown,Exam Prep,7,9,116,5,5,3.8,27.8,5.5,5.8,3.6,10,77.4
24,Female,10th,5.9,1,1,Claude,Doubt Solving,6,8,116,3,3,3.7,17.3,7.3,0.0,4.6,9,55.0
16,Female,11th,5.9,0,72,Copilot,Unknown,4,2,112,3,4,7.1,-17.3,8.0,4.2,1.1,3,46.1
19,Female,2nd Year,6.0,1,75,Unknown,Notes,3,85,29,3,9,6.1,36.6,8.8,0.6,1.2,4,58.5
15,Male,11th,3.1,1,24,Copilot,Coding,6,37,112,4,9,6.3,-14.0,6.5,3.0,1.5,10,64.4
23,Female,3rd Year,5.8,0,117,Gemini,Notes,4,74,118,3,3,5.4,23.2,7.8,0.7,4.8,2,49.4
22,Female,2nd Year,2.7,1,107,Copilot,Coding,5,69,107,2,5,5.1,25.8,8.0,3.4,2.6,1,67.5
18,Male,2nd Year,0.6,0,98,Claude,Doubt Solving,2,68,94,6,8,3.8,36.8,7.4,3.4,4.1,7,34.6
19,Female,1st Year,1.7,1,21,ChatGPT,Doubt Solving,9,29,27,1,5,3.5,36.9,5.9,0.4,4.1,6,38.7
17,Male,1st Year,5.7,0,55,Gemini,Unknown,2,13,107,5,7,9.9,-3.3,7.6,0.9,4.4,5,47.9
24,Male,3rd Year,0.6,1,148,ChatGPT+Gemini,Coding,4,1,48,6,10,4.6,-6.1,8.9,4.3,1.0,4,61.8
23,Female,3rd Year,3.5,1,54,ChatGPT,Notes,8,96,92,1,3,5.6,4.7,7.0,4.0,2.6,4,24.1
20,Female,11th,0.9,0,39,Claude,Homework,7,100,40,1,2,4.6,36.1,7.7,1.7,3.0,1,52.4
22,Female,10th,2.1,1,178,Gemini,Homework,4,7,85,7,2,7.5,23.4,5.2,1.1,2.6,7,58.0
20,Male,11th,1.0,0,149,Unknown,Notes,8,73,108,6,9,2.6,34.7,7.3,4.1,4.3,8,50.1
14,Other,3rd Year,5.2,1,155,Unknown,Doubt Solving,6,84,48,9,1,1.5,-6.9,4.2,3.2,4.7,9,40.2
14,Male,10th,3.8,1,120,Copilot,Coding,8,82,28,4,1,9.8,-15.9,8.2,1.5,1.1,10,58.8
22,Male,11th,5.5,1,3,ChatGPT,Coding,4,98,0,3,2,5.8,-18.5,5.1,5.9,0.3,9,41.9
24,Male,12th,4.3,0,25,Gemini,Notes,5,17,84,6,6,6.0,-15.7,4.3,2.3,3.7,2,62.7
22,Female,12th,5.8,0,111,ChatGPT+Gemini,Notes,4,70,30,8,6,5.2,30.5,4.9,4.1,2.5,10,72.6
17,Female,10th,3.3,1,112,ChatGPT+Gemini,Exam Prep,7,12,26,5,6,1.4,32.3,6.3,5.3,4.7,8,47.4
22,Female,1st Year,4.0,0,22,ChatGPT+Gemini,Unknown,4,45,34,3,6,7.1,35.0,4.2,5.7,3.5,4,70.5
16,Female,10th,3.7,1,168,Unknown,Coding,5,53,7,3,6,6.1,4.5,4.2,5.4,1.6,6,69.0
20,Male,11th,3.2,1,57,Gemini,Unknown,9,11,39,1,8,2.3,8.0,6.6,3.6,2.7,10,66.1
19,Female,2nd Year,5.2,1,7,ChatGPT,Exam Prep,8,39,57,6,6,5.7,-8.6,6.8,1.3,4.5,7,59.6
21,Male,12th,4.0,0,115,Copilot,Doubt Solving,2,87,71,10,9,3.1,6.5,5.6,5.6,4.2,4,81.4
24,Female,2nd Year,4.9,1,50,ChatGPT,Coding,7,81,5,7,5,6.8,-10.6,4.1,5.9,2.3,2,42.3
22,Male,12th,4.8,1,0,Copilot,Unknown,2,37,14,9,4,7.0,17.1,6.3,0.0,1.1,6,57.0
18,Female,11th,1.6,1,119,ChatGPT,Notes,10,11,20,6,1,3.7,-19.0,8.6,5.5,0.5,2,30.2
14,Female,12th,4.1,1,29,ChatGPT,Notes,3,66,36,8,2,1.8,5.7,6.4,5.3,0.9,10,35.5
16,Female,10th,1.6,0,16,Gemini,Doubt Solving,1,24,69,6,4,8.2,39.1,6.3,2.7,2.2,10,76.8
23,Female,2nd Year,3.7,0,150,ChatGPT+Gemini,Unknown,2,34,53,2,9,6.7,39.7,6.8,4.8,3.6,4,53.5
21,Male,3rd Year,4.2,0,101,ChatGPT+Gemini,Unknown,3,15,28,3,4,6.4,26.4,4.8,5.7,0.9,3,69.0
24,Female,2nd Year,6.0,1,121,ChatGPT+Gemini,Homework,5,44,57,1,8,6.4,-2.1,8.0,1.9,3.4,6,85.8
19,Male,11th,0.7,0,151,ChatGPT+Gemini,Exam Prep,6,12,88,5,2,7.5,-8.1,4.2,2.8,1.5,7,78.2
21,Female,3rd Year,1.0,1,85,ChatGPT,Notes,7,23,86,6,1,3.1,-17.8,4.3,0.8,3.1,10,63.4
22,Female,2nd Year,0.9,1,68,ChatGPT+Gemini,Unknown,5,75,101,6,9,4.7,5.1,4.3,1.8,2.4,7,61.0
17,Male,11th,2.7,1,88,ChatGPT,Coding,5,1,90,2,10,3.0,7.6,8.0,5.3,4.4,5,90.9
14,Other,1st Year,5.0,0,179,Copilot,Unknown,8,89,105,1,6,1.6,-15.2,5.8,1.1,4.6,7,56.4
14,Female,10th,5.1,1,70,Claude,Coding,1,9,86,7,10,9.2,32.1,7.2,5.7,1.9,3,56.7
23,Male,12th,4.6,1,57,Claude,Coding,9,18,18,4,5,1.4,19.0,4.4,3.4,1.8,3,65.3
17,Female,12th,5.4,0,149,Copilot,Doubt Solving,3,85,91,9,3,1.4,2.8,7.8,4.2,3.1,3,59.1
20,Male,12th,2.3,0,58,ChatGPT,Homework,6,23,33,8,9,3.9,31.3,5.7,2.4,1.5,3,69.9
15,Female,1st Year,1.0,1,171,ChatGPT+Gemini,Exam Prep,4,89,57,6,2,3.9,4.7,5.1,1.4,2.9,3,61.7
16,Female,10th,0.8,1,36,Gemini,Coding,2,60,70,10,10,1.4,30.9,7.6,2.9,2.1,8,71.5
14,Other,2nd Year,5.2,0,161,ChatGPT,Coding,6,4,114,3,8,7.9,9.7,4.3,1.8,2.4,10,59.2
18,Female,2nd Year,4.5,0,99,ChatGPT,Notes,10,79,12,8,4,2.1,18.1,6.4,3.1,4.0,10,56.4
14,Male,10th,4.3,0,112,Copilot,Homework,8,100,3,10,7,1.8,-13.5,5.9,0.6,0.6,2,45.7
21,Female,3rd Year,2.4,1,167,Copilot,Notes,4,33,10,1,8,1.8,-4.5,7.7,5.5,0.7,5,52.4
14,Male,10th,2.6,1,19,Gemini,Doubt Solving,8,91,49,9,1,6.8,19.1,7.2,1.6,0.6,8,45.6
24,Female,12th,5.8,1,16,ChatGPT+Gemini,Doubt Solving,7,63,20,10,10,2.5,4.6,8.5,3.8,3.1,3,80.7
14,Female,2nd Year,0.9,1,179,Claude,Exam Prep,1,11,59,9,1,6.2,-12.0,7.6,3.9,4.3,1,59.6
15,Male,10th,4.8,1,3,Unknown,Doubt Solving,5,58,20,10,9,2.8,-10.8,6.1,1.5,4.5,7,57.2
15,Male,2nd Year,2.2,1,49,ChatGPT+Gemini,Exam Prep,8,20,42,8,9,8.5,22.5,4.9,6.0,2.6,1,64.0
19,Female,10th,0.7,0,81,ChatGPT+Gemini,Notes,6,95,44,10,10,2.7,21.1,6.3,2.9,3.2,10,67.0
20,Female,11th,4.6,1,49,Unknown,Coding,9,88,41,4,1,4.9,23.3,4.8,4.5,3.5,7,43.9
18,Male,12th,2.3,0,15,Unknown,Coding,7,77,25,9,5,6.0,23.3,4.6,0.2,2.3,9,59.3
14,Male,10th,4.5,1,71,ChatGPT,Homework,2,46,30,9,4,8.9,37.7,4.2,1.4,3.3,7,65.3
14,Male,1st Year,4.4,0,60,Gemini,Doubt Solving,1,52,48,10,10,2.9,38.2,6.7,0.6,1.8,9,56.8
16,Female,10th,3.4,0,43,ChatGPT,Homework,9,98,67,5,4,6.6,6.0,6.8,2.1,3.1,7,54.9
15,Male,11th,4.8,0,145,Copilot,Homework,5,72,2,6,2,1.3,26.6,7.3,4.5,2.5,8,63.0
18,Female,1st Year,3.7,1,49,Unknown,Coding,2,93,38,7,5,8.0,24.2,8.4,0.8,0.8,7,36.1
23,Male,1st Year,2.1,1,79,Claude,Doubt Solving,4,92,47,9,2,5.7,-9.6,8.6,2.5,4.2,5,48.1
19,Female,10th,4.5,1,29,Gemini,Coding,10,38,20,7,3,9.5,26.9,5.7,1.2,1.3,5,45.2
20,Male,11th,3.7,1,48,Gemini,Unknown,6,30,101,1,8,8.0,30.6,7.2,1.4,0.5,9,59.3
17,Female,1st Year,0.6,1,97,ChatGPT+Gemini,Homework,9,77,17,9,9,4.6,-17.7,6.3,0.3,4.2,8,51.7
20,Male,12th,5.5,1,148,ChatGPT,Doubt Solving,8,80,96,6,9,4.7,11.5,7.8,3.0,4.3,7,67.4
24,Female,3rd Year,3.5,0,149,ChatGPT+Gemini,Unknown,6,88,114,2,7,1.1,-5.1,7.6,1.0,0.2,2,69.8
